2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory ,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e,Scope 3 emissions  tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions  tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)", Sales/Revenue,Profit
1,ICBC         ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://v.icbc.com.cn/userfiles/Resources/ICBCLTD/download/2021/2020shzrEN202103.pdf,$190 500 000 000,$45 770 000 000
2,JPMorgan Chase        ,Diversified Financials,United States,81 655 ,692 299,181 004,69 570,660 601,730 171,36 169,766 340,$55 288,$52 679,#REF!,#REF!,#REF!,#REF!,#REF!,6,$527,"2020 Environmental Social & Governance Report, page 32 https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf",$136 200 000 000,$40 370 000 000
3,Berkshire Hathaway        ,Diversified Financials,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.brkenergy.com/assets/pdf/sustainability-berkshire-hathaway-energy.pdf,$245 500 000 000,$42 520 000 000
4,China Construction Bank       ,Banking,China,17 936 ,254 092,--,18 615,332 461,351 076,--,,$111 942,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Social and Governance Reporting Guide, page 36 http://www.ccb.com/en/newinvestor/upload/20210327_1616775640/20210327001724508034.pdf",$173 500 000 000,$39 300 000 000
5,Saudi Arabian Oil Company (Saudi Aramco)    ,Oil & Gas Operations,Saudi Arabia,52 000 000 ,19 000 000,1 600 000 000,49 100 000,17 900 000,67 000 000,--,,$736,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"saudi-aramco-ara-2020, page 78, https://www.aramco.com/-/media/publications/corporate-reports/saudi-aramco-ara-2020-english.pdf ;  Source link for 2019 scope 3 emissions https://www.clientearth.org/projects/the-greenwashing-files/aramco/#:~:text=In%202019%2C%20Aramco's%20Scope%203,equivalent%20%E2%80%93%20over%2012%2C000%20times%20more.",$229 700 000 000,$49 280 000 000
6,Apple         ,Technology Hardware & Equipment,United States,52 730 ,0,24 980 000,47 430,0,47 430,22 550 000,22 597 430,$1 347 881,$2 829,#REF!,#REF!,#REF!,#REF!,#REF!,77,$28,"Environmental Progress Report - Apple, page 67 https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2021.pdf",$294 000 000 000,$63 930 000 000
6,Bank of America       ,Banking,United States,62 639 ,746 294,4 867 841,53 390,657 635,711 025,3 291 394,4 002 419,$25 161,$4 470,#REF!,#REF!,#REF!,#REF!,#REF!,41,$45,"2019 Environmental, Social & Governance Performance Data Summary, page 11 file:///C:/Users/muham/Downloads/ESGData2019_R26_Final.pdf ; 2020 Independent Reasonable and Limited Assurance Statement, page 5 https://about.bankofamerica.com/content/dam/about/pdfs/2020_Assurance_Statement_ISAE_3000_Final.pdf",$98 800 000 000,$17 890 000 000
6,Ping An Insurance Group      ,Insurance,China,7 156 ,720 605,69 490 000,2 114,478 287,480 401,49 897,530 298,$43 193,$39 129,#REF!,#REF!,#REF!,#REF!,#REF!,3,$391,"Ping-An-2020-Sustainability-Report, Page 111 https://group.pingan.com/resource/pingan/ESG/Report/Ping-An-2020-Sustainability-Report.pdf ; Ping An 2019 Sustainability Report, page 44 http://www.pingan.com/app_upload/images/info/upload/2a9a2d56-88f3-451f-af2e-e3e6c19d2483.pdf?_ga=2.186661162.307943061.1646826890-1708395438.1646826890",$169 100 000 000,$20 750 000 000
9,Agricultural Bank of China      ,Banking,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.abchina.com/en/AboutUs/csr-report/202003/P020200402552823524561.pdf ; https://www.abchina.com/en/AboutUs/csr-report/202103/P020210330724856060672.pdf,$153 900 000 000,$31 300 000 000
10,Amazon         ,Retailing,United States,5 760 000 ,5 500 000,39 910 000,9 620 000,5 270 000,14 890 000,45 750 000,60 640 000,$1 433,$352,#REF!,#REF!,#REF!,#REF!,#REF!,157,$4,"Amazon's 2020 Sustainability Report, page 111 https://sustainability.aboutamazon.com/amazon-sustainability-2020-report.pdf",$386 100 000 000,$21 330 000 000
