"2022 Forbes Rank
(2023 list) ",Company Name,,2022 Scope 1 emissions tons CO₂e,2022 Scope 2 emissions tons CO₂e,2022 Scope 3 emissions tons CO₂e,2022 Scope 1+2,2022 Scope 1-3,2022 Sales / Revenue (Millions USD),2022 Profit (Millions USD),2022Profit per scope 1+2+3 emissions,2022Profit per scope 1+2 emissions,2022 CO2 intensity  (gram CO2 per USD),2021-2022 Datasource emission data
1,JPMorgan Chase,Diversified Financials,88 553,783 616,156 845,872 169,1 029 014,$179 930,$41 800,$40 621,$47 926,"5,72",page 1: https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/esg-environmental-data-table.pdf
2,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,55 700 000,16 100 000,,71 800 000,,$589 470,$156 360,,$2 178,,"page 63, https://www.aramco.com/-/media/publications/corporate-reports/saudi-aramco-ara-2022-english.pdf?la=en&hash=6BC0409B50ECFF4A4C743307DF2FF7BDBCEC8B43"
3,ICBC,Banking,97 400,1 923 900,,2 021 300,,$216 770,$52 470,,$25 959,,"page 27, https://v.icbc.com.cn/userfiles/Resources/ICBCLTD/download/2023/2022ESGen202303.pdf"
4,China Construction Bank,Banking,69 497,1 613 315,,1 682 812,,$203 080,$48 250,,$28 672,,"page 52, http://group.ccb.com/eng/attachDir/2023/03/2023032919305952487.pdf"
5,Agricultural Bank of China,Banking,222 353,1 931 555,,2 153 908,,$186 140,$37 920,,$17 605,,"page 98, https://www.abchina.com/en/aboutus/csr-report/"
6,Bank of America,Banking,66 775,634 510,3 023 784,701 285,3 725 069,$133 840,$28 620,$7 683,$40 811,"27,83","page 17, https://about.bankofamerica.com/content/dam/about/report-center/esg/2022/BofA_2023_PDS_GRI_secured.pdf"
7,Alphabet,IT Software & Services,91 200,8 045 400,7 600 000,8 136 600,15 736 600,$282 850,$58 590,$3 723,$7 201,"55,64",page 90 https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf
8,ExxonMobil,Oil & Gas Operations,96 000 000,7 000 000,540 000 000,103 000 000,643 000 000,$393 160,$61 690,$96,$599,"1 635,47","page 3:, https://corporate.exxonmobil.com/-/media/global/files/advancing-climate-solutions-progress-report/2023/2023-acs-ghg-data-supplement.pdf"
9,Microsoft,IT Software & Services,139 413,6 381 250,16 340 000,6 520 663,22 860 663,$207 590,$69 020,$3 019,$10 585,"110,12","page 3, https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RW13PLE"
10,Apple,Technology Hardware & Equipment,55 200,3 000,20 550 000,58 200,20 608 200,$385 100,$94 320,$4 577,$1 620 619,"53,51","page 77, 84, https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2023.pdf"
11,Shell,Oil & Gas Operations,51 000 000,7 000 000,1 174 000 000,58 000 000,1 232 000 000,$365 890,$43 510,$35,$750,"3 367,13",https://reports.shell.com/annual-report/2022/strategic-report/our-journey-to-achieving-net-zero/climate-related-metrics-and-targets/greenhouse-gas-emissions.html
12,Bank of China,Banking,575,48 522,86,49 097,49 183,$158 230,$33 230,$675 640,$676 823,"0,31","page 97, https://www.bochk.com/dam/bochk/desktop/top/aboutus/esg/report/SustainabilityReport2022_en.pdf"
13,Toyota Motor,Automotives,2 370 000,2 870 000,570 490 000,5 240 000,575 730 000,$270 490,$18 500,$32,$3 531,"2 128,47","page 44, https://global.toyota/pages/global_toyota/sustainability/report/sdb/sdb23_en.pdf"
14,Samsung Electronics,Technology Hardware & Equipment,5 972 000,9 081 000,124 715 000,15 053 000,139 768 000,$220 070,$34 490,$247,$2 291,"635,11",pg. 119 https://www.samsung.com/global/sustainability/media/pdf/Samsung_Electronics_Sustainability_Report_2023_ENG.pdf
15,UnitedHealth Group,Insurance,122 356,383 896,13 788 578,506 252,14 294 830,$335 940,$20 700,$1 448,$40 889,"42,55","page 84, https://sustainability.uhg.com/content/dam/sustainability-report/2022/pdf/2022-sustainability-report.pdf"
16,Ping An Insurance Group,Insurance,2 818,285 891,37 961,288 709,326 670,$166 370,$12 640,$38 693,$43 781,"1,96","page 79, https://group.pingan.com/resource/pingan/ESG/Report/pingan-sustainability-report-22.pdf"
17,Wells Fargo,Banking,77 476,593 495,2 047 109,670 971,2 718 080,$108 930,$14 500,$5 335,$21 610,"24,95","page 39, https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/sustainability-and-governance-report.pdf"
18,Chevron,Oil & Gas Operations,53 000 000,4 000 000,1 450 000 000,57 000 000,1 507 000 000,$457 400,$22 180,$15,$389,"3 294,71","pg:106, http://www.petrochina.com.cn/ptr/xhtml/images/shyhj/2022esgen.pdf"
18,PetroChina,Oil & Gas Operations,119 680 000,40 880 000,,160 560 000,,$232 120,$35 780,,$223,,"page 60,61: https://www.chevron.com/-/media/shared-media/documents/chevron-sustainability-report-2022.pdf"
20,HSBC Holdings,Banking,19 000,224 000,42 000,243 000,285 000,$73 980,$22 190,$77 860,$91 317,"3,85","page 63, HSBC Holdings plc Annual Report and Accounts 2022, https://www.hsbc.com/investors/results-and-announcements/annual-report"
22,TotalEnergies,Oil & Gas Operations,37 000 000,2 000 000,389 000 000,39 000 000,428 000 000,$257 590,$21 120,$49,$542,"1 661,56","page 376, https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2023-03/TotalEnergies_URD_2022_EN.pdf"
23,Walmart,Consumer Goods & Retail,7 370 000,6 620 000,,13 990 000,,$611 290,$11 680,,$835,,Refer Table - https://corporate.walmart.com/purpose/esgreport/environmental/climate-change
24,Citigroup,Diversified Financials,43 912,466 641,63 787,510 553,574 340,$120 420,$15 020,$26 152,$29 419,"4,77","page 41, https://www.citigroup.com/rcs/citigpa/storage/public/Global-ESG-Report-2022.pdf"
25,China Mobile,Media & Telecommunications Services,220 000,34 240 000,,34 460 000,,$140 530,$18 760,,$544,,"page 81, https://www.chinamobileltd.com/en/ir/reports/ar2022/sd2022.pdf"
26,China Merchants Bank,Banking,10 200,247 800,,258 000,,$72 440,$20 560,,$79 690,,"page 179, http://s3gw.cmbchina.com/lb50.01-cmbweb-prd/CIOAMananger/20230330/fac5bf4d-1c3d-4922-a107-8f7b266bdfaa.pdf"
27,Postal Savings Bank Of China (PSBC),Banking,4 851,209 166,,214 017,,$82 510,$12 780,,$59 715,,"PAGE 40, https://www.psbc.com/en/investor_relations/social_responsibility/202203/P020220330801457436982.pdf and 2022 report."
28,BP,Oil & Gas Operations,30 400 000,1 500 000,306 700 000,31 900 000,338 600 000,$248 110,$25 890,$76,$812,"1 364,72","PAGE 3&4, https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-esg-datasheet-2022.pdf"
29,Volkswagen Group,Automotives,4 460 000,2 410 000,3 956 200,6 870 000,10 826 200,$293 470,$15 630,$1 444,$2 275,"36,89","page 53, sustainability report, 2022"
30,Morgan Stanley,Diversified Financials,27 268,196 553,281 089,223 821,504 910,$74 160,$10 340,$20 479,$46 198,"6,81","page:60, https://www.morganstanley.com/content/dam/msdotcom/en/assets/pdfs/Morgan_Stanley_2022_ESG_Report.pdf"
